year_month_day,ma_20,ma_50,rsi,macd,macd_signal,bb_high,bb_low,roc,not,red_green,close
2017-12-23,15180.685999999998,16659.717,45.24016177726985,1217.172392949422,1894.1346848793473,19997.25822178267,11445.992778217329,-19.82141274670741,135005,red,13300.0
2017-12-24,14421.646000000002,16376.219000000001,46.303796514822054,960.7390247648436,1707.4555528564467,19792.469523264437,11842.881476735563,-17.431142159719975,173557,green,13500.0
2017-12-25,13863.717999999999,15992.170000000002,47.400430467360984,764.7828642240511,1518.9210151299676,19559.814852876207,12275.471147123797,-14.556900049833818,116416,green,13699.34
2017-12-26,13902.992000000002,15650.805000000002,56.86890244444384,761.2605975413899,1367.388931612252,19504.39266016336,12544.78933983664,-3.9545196871988786,133133,green,15689.01
2017-12-27,14329.668,15310.802000000001,55.6276350516517,731.556250738262,1240.222395437454,19445.256331896715,12490.024668103284,-11.85781162075118,142202,red,15459.99
2017-12-28,14506.09,14843.388,49.177638050697716,598.0076456846637,1111.7794454868958,19446.602230486253,12318.889769513746,-25.75845458171794,178032,red,14182.11
2017-12-29,14681.87,14551.758000000002,50.13648532673383,502.25899334142014,989.8753550578008,19453.809640860898,12283.965359139102,-23.759889968303323,142100,green,14378.9
2017-12-30,14430.004,14146.860999999999,41.773998138833655,266.8492059688906,845.2701252400188,19613.037311781653,11878.740688218346,-34.027126284388466,190204,red,12440.01
2017-12-31,14035.473999999998,13969.233000000002,47.93090906392615,181.18741579418747,712.4535833508526,19546.209124464403,11658.4078755356,-20.692677737175632,138893,green,13716.36
2018-01-01,13619.476,13974.572,46.5344140332532,85.176527015783,586.9981720838387,19496.341525335538,11411.276474664468,-18.85489581526571,105595,red,13380.0
2018-01-02,13718.076000000001,14112.082999999999,52.29746172583454,112.29726626898992,492.0579909208689,19432.841742837387,11338.958257162612,-5.27689276972807,177728,green,14675.11
2018-01-03,13826.198,14254.034,53.320019320320036,151.7622640739919,423.9988455514935,19342.663622591266,11287.58937740874,11.952777187896995,162787,green,14919.51
2018-01-04,14350.104000000001,14390.054,53.929380679036996,192.12313398875085,377.62370323894504,19087.615644066525,11294.608355933473,13.229624060150384,170310,green,15059.54
2018-01-05,14998.91,14517.192000000001,61.312306766056146,373.1902185773615,376.73700630662836,18648.107760066352,11519.88923993365,25.632518518518516,192969,green,16960.39
2018-01-06,15736.867999999999,14678.172,61.69279314598686,519.526080080379,405.29482106137846,18251.453608020984,11737.520391979015,24.603010072018073,158242,green,17069.79
2018-01-07,16031.852000000003,14874.964000000002,56.648539924054674,554.8849906017695,435.21285496945666,17655.424996462178,12062.927003537825,2.9384900640639557,120269,red,16150.03
2018-01-08,16028.458000000002,14927.328,50.60485432505295,476.74949325412126,443.52018262638956,17303.776556648794,12175.309443351205,-3.6057591240356492,208642,red,14902.54
2018-01-09,15896.55,15123.327000000001,48.36626740725422,370.0105196255754,428.81825002622674,17072.840353707812,12197.347646292188,1.5363722323405997,156656,red,14400.0
2018-01-10,15485.89,15242.4,50.73449696991768,322.6180984678758,407.57821971455655,17015.567095678056,12196.065904321948,3.6733686165144794,161476,green,14907.09
2018-01-11,14719.688,15228.278,43.642391185679244,148.7261662392757,355.8078090195004,17020.785390024546,12182.06460997545,6.420975545839597,239416,red,13238.78
2018-01-12,14237.684,15134.768000000002,46.0810887658645,50.77532285516645,294.8013117866336,17002.718328371226,12244.132671628779,0.17242183786368712,134452,green,13740.01
2018-01-13,14099.176000000001,15063.817000000001,48.33848985526769,10.946652706874374,238.0303799706818,16990.826124198797,12327.024875801206,6.203288490284006,123639,green,14210.0
2018-01-14,13914.173999999999,14905.362,45.15459387643448,-79.01617037462893,174.62106990161965,17000.03386585782,12295.382134142179,-8.177928478900673,152364,red,13474.99
2018-01-15,13640.741999999998,14563.316,45.49617705614455,-143.41899563364677,111.01305679456638,16888.83314048808,12191.674859511915,-9.246818427682946,145362,green,13539.93
2018-01-16,13172.985999999999,13946.337,35.748892891953815,-402.8353516555708,8.243375104538941,17103.131757440526,11521.377242559473,-27.620631174657394,418243,red,10900.0
2018-01-17,12622.742,13430.213,36.243645991137875,-594.4081052151341,-112.28692095939567,17297.857753696855,11007.319246303148,-35.2090960172496,517293,green,10988.79
2018-01-18,11973.136,13036.155999999999,36.153086767148494,-739.8663240414007,-237.8028015757967,17417.106678677323,10546.377321322674,-35.78145952586412,393112,red,10961.97
2018-01-19,11573.134,12743.653999999999,39.278415118673294,-804.4739162951246,-351.1370245196623,17479.446122883455,10387.534877116552,-28.947624245899238,273271,green,11474.98
2018-01-20,11425.136,12532.939,46.5549535121429,-740.229791521886,-428.9555779201071,17467.1891939951,10308.149806004902,-14.109004236861638,251647,green,12799.94
2018-01-21,11551.136,12362.061,41.43029562892027,-782.7661633773641,-499.71769501155853,17515.238272173276,10075.100727826724,-19.930555555555557,360207,red,11530.0
2018-01-22,11505.388,12064.065,38.65225961052164,-868.5924813453039,-573.4926522783076,17520.279382174125,9678.553617825877,-27.819245741455916,363264,red,10760.05
2018-01-23,11472.829999999998,11722.983,38.876575236482786,-922.8153517606934,-643.3571921747847,17445.9461217807,9340.853878219299,-18.42767989195379,355286,green,10799.18
2018-01-24,11447.832,11510.483,42.0866580443043,-910.84198411736,-696.8541505632998,17277.986730799657,9137.858269200344,-17.39460160509345,293429,green,11349.99
2018-01-25,11122.898,11274.017,41.34491052879656,-905.0189526689646,-738.4871109844328,16692.375481642706,9144.957518357294,-21.35629838142153,221040,red,11175.27
2018-01-26,11034.698,11292.917000000001,40.96104024231537,-897.0250795664451,-770.1947047008352,15952.246334049996,9287.007665950001,-17.706803492989604,314720,red,11089.0
2018-01-27,11180.888,11343.138,43.58933806132899,-848.471189476817,-785.8500016560317,15327.984176901977,9445.366823098022,-15.13250068501093,207478,green,11491.0
2018-01-28,11397.042,11434.936,46.09001448239467,-769.7338546262345,-782.6267722500723,14945.78132921698,9525.310670783021,8.990366972477071,206247,green,11879.95
